booking_id,customer_id,customer_name,member_type,movie_name,theater_no,seat_number,seat_type,price,status
BK260,C260,ศิริพร ว***,VIP,Spider-Man,2,D3,Normal,0.0,Rejected (ที่นั่ง D3 ถูกจองแล้ว (Double Booking))
BK261,C261,ธนกฤต ส***,Student,Spider-Man,2,B2,Honeymoon,0.0,Rejected (ที่นั่ง B2 ถูกจองแล้ว (Double Booking))
BK262,C262,วิภา เ***,VIP,Avatar 3,1,B2,Deluxe,140.0,Paid
BK263,C263,ศิริพร เ***,VIP,Batman,3,B9,Honeymoon,196.0,Paid
BK264,C264,สมชาย ร***,General,Spider-Man,2,D2,VIP,370.0,Paid
BK265,C265,อนันต์ ส***,VIP,Interstellar,5,F6,Honeymoon,0.0,Rejected (ที่นั่ง F6 ถูกจองแล้ว (Double Booking))
BK266,C266,สมชาย ส***,Student,Inception,4,A6,Normal,136.0,Paid
BK267,C267,กิตติ ม***,VIP,Spider-Man,2,E2,VIP,0.0,Rejected (ที่นั่ง E2 ถูกจองแล้ว (Double Booking))
BK268,C268,ศิริพร ม***,General,Interstellar,5,A5,Deluxe,0.0,Rejected (ที่นั่ง A5 ถูกจองแล้ว (Double Booking))
BK269,C269,ชลธิชา ส***,Student,Avatar 3,1,E2,Normal,128.0,Paid
BK270,C270,ธนกฤต ร***,General,Interstellar,5,F2,VIP,0.0,Rejected (ที่นั่ง F2 ถูกจองแล้ว (Double Booking))
BK271,C271,อนันต์ ส***,VIP,Avatar 3,1,E8,VIP,0.0,Rejected (ที่นั่ง E8 ถูกจองแล้ว (Double Booking))
BK272,C272,กมล ม***,General,Spider-Man,2,B10,VIP,370.0,Paid
BK273,C273,ชลธิชา ร***,General,Batman,3,B4,Deluxe,240.0,Paid
BK274,C274,กมล ร***,VIP,Avatar 3,1,F8,Deluxe,140.0,Paid
BK275,C275,กมล ว***,VIP,Batman,3,A6,Deluxe,0.0,Rejected (ที่นั่ง A6 ถูกจองแล้ว (Double Booking))
BK276,C276,ชลธิชา ส***,Student,Inception,4,B9,Deluxe,168.0,Paid
BK277,C277,อนันต์ ม***,Student,Interstellar,5,A7,Deluxe,184.0,Paid
BK278,C278,กมล ส***,Student,Spider-Man,2,D9,Deluxe,176.0,Paid
BK279,C279,ณัฐพงษ์ ส***,Student,Avatar 3,1,E6,Honeymoon,0.0,Rejected (ที่นั่ง E6 ถูกจองแล้ว (Double Booking))
BK280,C280,อนันต์ ส***,VIP,Avatar 3,1,F1,Deluxe,140.0,Paid
BK281,C281,ธนกฤต ม***,VIP,Spider-Man,2,A4,VIP,259.0,Paid
BK282,C282,ธนกฤต ม***,VIP,Spider-Man,2,C3,VIP,0.0,Rejected (ที่นั่ง C3 ถูกจองแล้ว (Double Booking))
BK283,C283,กิตติ ใ***,VIP,Interstellar,5,C10,Honeymoon,0.0,Rejected (ที่นั่ง C10 ถูกจองแล้ว (Double Booking))
BK284,C284,นภา ว***,VIP,Avatar 3,1,E8,Deluxe,0.0,Rejected (ที่นั่ง E8 ถูกจองแล้ว (Double Booking))
BK285,C285,วิภา ส***,VIP,Interstellar,5,F5,Normal,133.0,Paid
BK286,C286,กมล ม***,General,Interstellar,5,B3,Normal,0.0,Rejected (ที่นั่ง B3 ถูกจองแล้ว (Double Booking))
BK287,C287,นภา ร***,General,Spider-Man,2,F4,Deluxe,0.0,Rejected (ที่นั่ง F4 ถูกจองแล้ว (Double Booking))
BK288,C288,อนันต์ ว***,VIP,Avatar 3,1,A7,VIP,0.0,Rejected (ที่นั่ง A7 ถูกจองแล้ว (Double Booking))
BK289,C289,ธนกฤต ส***,Student,Interstellar,5,F6,Honeymoon,0.0,Rejected (ที่นั่ง F6 ถูกจองแล้ว (Double Booking))
BK290,C290,นภา ส***,VIP,Interstellar,5,F5,Honeymoon,0.0,Rejected (ที่นั่ง F5 ถูกจองแล้ว (Double Booking))
BK291,C291,กิตติ ม***,VIP,Spider-Man,2,A9,Honeymoon,0.0,Rejected (ที่นั่ง A9 ถูกจองแล้ว (Double Booking))
BK292,C292,อนันต์ ใ***,General,Batman,3,A8,Normal,200.0,Paid
BK293,C293,นภา ม***,General,Batman,3,C1,VIP,390.0,Paid
BK294,C294,ศิริพร ส***,General,Spider-Man,2,F4,Normal,0.0,Rejected (ที่นั่ง F4 ถูกจองแล้ว (Double Booking))
BK295,C295,ชลธิชา ส***,Student,Batman,3,C9,Honeymoon,0.0,Rejected (ที่นั่ง C9 ถูกจองแล้ว (Double Booking))
BK296,C296,ธนกฤต ส***,Student,Inception,4,D10,Deluxe,168.0,Paid
BK297,C297,สมชาย เ***,Student,Interstellar,5,F5,VIP,0.0,Rejected (ที่นั่ง F5 ถูกจองแล้ว (Double Booking))
BK298,C298,อนันต์ ส***,Student,Inception,4,F8,Normal,136.0,Paid
BK299,C299,กมล ร***,Student,Batman,3,A8,VIP,0.0,Rejected (ที่นั่ง A8 ถูกจองแล้ว (Double Booking))
BK300,C300,ณัฐพงษ์ ม***,Student,Interstellar,5,F6,Honeymoon,0.0,Rejected (ที่นั่ง F6 ถูกจองแล้ว (Double Booking))
